Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-February-2023,2639.15,2643.05,2595.65,2599.65,2610.119457853694764203,26930,2278,70290517.00,18319,68.02,47.40,-39.50
6-February-2023,2640.00,2645.00,2600.25,2633.60,2613.091548721295427662,49034,5379,128130331.00,38575,78.67,44.75,-6.40
3-February-2023,2650.00,2655.15,2631.55,2645.90,2640.398298399819697994,53244,3408,140585367.00,42960,80.69,23.60,-4.10
2-February-2023,2574.30,2639.25,2564.50,2634.30,2610.702726254201419146,24099,3570,62915325.00,13800,57.26,74.75,60.00
1-February-2023,2590.05,2607.75,2546.70,2571.05,2583.548240278535173455,47678,6261,123178413.00,27703,58.10,61.05,-19.00
31-January-2023,2568.15,2590.00,2542.00,2577.60,2563.169222633527234267,20801,3753,53316483.00,8707,41.86,48.00,9.45
30-January-2023,2600.05,2610.00,2532.00,2571.30,2555.448204008731891248,30234,3744,77261421.00,12730,42.10,78.00,-28.75
27-January-2023,2630.00,2647.30,2578.75,2611.90,2603.530481609428977850,29526,2927,76871841.00,18810,63.71,68.55,-18.10
25-January-2023,2600.40,2641.10,2595.00,2620.85,2616.327907305355376571,70770,8233,185157526.00,56428,79.73,46.10,20.45
24-January-2023,2597.80,2609.55,2580.20,2598.40,2597.185782578549793818,27403,3941,71170682.00,17370,63.39,29.35,0.60
23-January-2023,2559.00,2603.60,2553.05,2597.80,2585.156384310805780229,29549,3157,76388786.00,10590,35.84,50.55,38.80
20-January-2023,2556.00,2605.00,2536.65,2548.35,2563.614989583837992345,103205,11831,264577885.00,34269,33.20,68.35,-7.65
19-January-2023,2675.20,2678.45,2612.10,2650.25,2640.983014711107952526,28142,4172,74322544.00,12218,43.42,66.35,-24.95
18-January-2023,2661.15,2692.50,2661.10,2686.80,2682.996878251821019771,27869,2745,74772440.00,21119,75.78,31.40,25.65
17-January-2023,2601.00,2674.50,2601.00,2666.40,2655.054834931239425621,69153,6770,183605007.00,36512,52.80,73.50,65.40
16-January-2023,2622.05,2625.75,2583.80,2597.15,2601.814758002664190852,24773,2039,64454757.00,17001,68.63,41.95,-24.90
13-January-2023,2595.95,2638.25,2567.95,2621.75,2619.011519716437749224,76738,2583,200977706.00,53489,69.70,70.30,25.80
12-January-2023,2586.00,2601.00,2572.30,2588.80,2588.083883042881503972,120215,5591,311126504.00,103517,86.11,28.70,2.80
11-January-2023,2643.75,2646.80,2588.45,2593.85,2600.202120913190529875,28384,2501,73804137.00,17177,60.52,58.35,-49.90
10-January-2023,2619.05,2652.95,2619.00,2643.70,2638.590894695170229612,25260,2443,66650806.00,16391,64.89,33.95,24.65
9-January-2023,2580.30,2629.00,2571.00,2622.55,2607.320412160436004428,58715,5655,153088818.00,34935,59.50,58.00,42.25
6-January-2023,2583.70,2611.30,2575.00,2577.00,2587.022281324713172153,70687,3403,182868844.00,53942,76.31,36.30,-6.70
5-January-2023,2546.95,2592.00,2546.95,2581.30,2572.320117426930769727,61996,5915,159473558.00,36804,59.37,45.05,34.35
4-January-2023,2545.25,2558.00,2527.50,2536.80,2538.538648866082494401,45991,3088,116749931.00,36120,78.54,30.50,-8.45
